ordinal,species,in6,in5,in4,in3,in2,in1,total,year,site,DI,elev,spsiteyear,doy_adult,gdd_adult
154,Aeropedellus clavatus,0,0,1,4,3,2,10,2011,A1,2.4,2195,A12011Aeropedellus clavatus,175,173.8124648
160,Aeropedellus clavatus,0,2,4,6,7,0,19,2011,A1,3.052631579,2195,A12011Aeropedellus clavatus,175,173.8124648
167,Aeropedellus clavatus,0,2,1,1,1,0,5,2011,A1,3.8,2195,A12011Aeropedellus clavatus,175,173.8124648
174,Aeropedellus clavatus,7,2,1,1,0,0,11,2011,A1,5.363636364,2195,A12011Aeropedellus clavatus,175,173.8124648
181,Aeropedellus clavatus,10,0,0,0,0,0,10,2011,A1,6,2195,A12011Aeropedellus clavatus,175,173.8124648
189,Aeropedellus clavatus,13,0,0,0,0,0,13,2011,A1,6,2195,A12011Aeropedellus clavatus,175,173.8124648
195,Aeropedellus clavatus,27,0,0,0,0,0,27,2011,A1,6,2195,A12011Aeropedellus clavatus,175,173.8124648
203,Aeropedellus clavatus,5,0,0,0,0,0,5,2011,A1,6,2195,A12011Aeropedellus clavatus,175,173.8124648
207,Aeropedellus clavatus,3,0,0,0,0,0,3,2011,A1,6,2195,A12011Aeropedellus clavatus,175,173.8124648
215,Aeropedellus clavatus,7,0,0,0,0,0,7,2011,A1,6,2195,A12011Aeropedellus clavatus,175,173.8124648
225,Aeropedellus clavatus,3,0,0,0,0,0,3,2011,A1,6,2195,A12011Aeropedellus clavatus,175,173.8124648
107,Arphia conspersa,7,13,11,5,1,0,37,2007,A1,4.540540541,2195,A12007Arphia conspersa,127,61.75744552
143,Arphia conspersa,9,0,0,0,0,0,9,2007,A1,6,2195,A12007Arphia conspersa,127,61.75744552
156,Arphia conspersa,20,0,0,0,0,0,20,2007,A1,6,2195,A12007Arphia conspersa,127,61.75744552
161,Arphia conspersa,4,0,0,0,0,0,4,2007,A1,6,2195,A12007Arphia conspersa,127,61.75744552
168,Arphia conspersa,5,0,0,0,0,0,5,2007,A1,6,2195,A12007Arphia conspersa,127,61.75744552
189,Arphia conspersa,4,0,0,0,0,0,4,2007,A1,6,2195,A12007Arphia conspersa,127,61.75744552
229,Arphia conspersa,0,0,0,1,2,0,3,2007,A1,2.333333333,2195,A12007Arphia conspersa,127,61.75744552
249,Arphia conspersa,0,0,0,0,3,4,7,2007,A1,1.428571429,2195,A12007Arphia conspersa,127,61.75744552
273,Arphia conspersa,0,0,2,2,1,1,6,2007,A1,2.833333333,2195,A12007Arphia conspersa,127,61.75744552
104,Arphia conspersa,1,4,0,0,0,0,5,2008,A1,5.2,2195,A12008Arphia conspersa,109,13.67233885
113,Arphia conspersa,3,1,0,0,0,0,4,2008,A1,5.75,2195,A12008Arphia conspersa,109,13.67233885
122,Arphia conspersa,8,2,0,0,0,0,10,2008,A1,5.8,2195,A12008Arphia conspersa,109,13.67233885
129,Arphia conspersa,42,2,0,0,0,0,44,2008,A1,5.954545455,2195,A12008Arphia conspersa,109,13.67233885
139,Arphia conspersa,17,1,0,0,0,0,18,2008,A1,5.944444444,2195,A12008Arphia conspersa,109,13.67233885
149,Arphia conspersa,23,0,0,0,0,0,23,2008,A1,6,2195,A12008Arphia conspersa,109,13.67233885
157,Arphia conspersa,13,0,0,0,0,0,13,2008,A1,6,2195,A12008Arphia conspersa,109,13.67233885
163,Arphia conspersa,6,0,0,0,0,0,6,2008,A1,6,2195,A12008Arphia conspersa,109,13.67233885
168,Arphia conspersa,9,0,0,0,0,0,9,2008,A1,6,2195,A12008Arphia conspersa,109,13.67233885
175,Arphia conspersa,3,0,0,0,0,0,3,2008,A1,6,2195,A12008Arphia conspersa,109,13.67233885
183,Arphia conspersa,3,0,0,0,0,0,3,2008,A1,6,2195,A12008Arphia conspersa,109,13.67233885
190,Arphia conspersa,6,0,0,0,0,0,6,2008,A1,6,2195,A12008Arphia conspersa,109,13.67233885
206,Arphia conspersa,6,0,0,0,0,0,6,2008,A1,6,2195,A12008Arphia conspersa,109,13.67233885
232,Arphia conspersa,2,0,0,0,0,3,5,2008,A1,3,2195,A12008Arphia conspersa,109,13.67233885
241,Arphia conspersa,0,0,0,0,3,2,5,2008,A1,1.6,2195,A12008Arphia conspersa,109,13.67233885
262,Arphia conspersa,0,0,0,0,3,0,3,2008,A1,2,2195,A12008Arphia conspersa,109,13.67233885
288,Arphia conspersa,0,0,0,3,2,3,8,2008,A1,2,2195,A12008Arphia conspersa,109,13.67233885
125,Arphia conspersa,6,2,0,0,0,0,8,2009,A1,5.75,2195,A12009Arphia conspersa,125,29.22441251
131,Arphia conspersa,19,0,0,0,0,0,19,2009,A1,6,2195,A12009Arphia conspersa,125,29.22441251
139,Arphia conspersa,19,0,0,0,0,0,19,2009,A1,6,2195,A12009Arphia conspersa,125,29.22441251
148,Arphia conspersa,20,0,0,0,0,0,20,2009,A1,6,2195,A12009Arphia conspersa,125,29.22441251
156,Arphia conspersa,9,0,0,0,0,0,9,2009,A1,6,2195,A12009Arphia conspersa,125,29.22441251
163,Arphia conspersa,6,0,0,0,0,0,6,2009,A1,6,2195,A12009Arphia conspersa,125,29.22441251
174,Arphia conspersa,3,0,0,0,0,0,3,2009,A1,6,2195,A12009Arphia conspersa,125,29.22441251
219,Arphia conspersa,1,0,0,0,0,3,4,2009,A1,2.25,2195,A12009Arphia conspersa,125,29.22441251
227,Arphia conspersa,0,0,0,0,2,3,5,2009,A1,1.4,2195,A12009Arphia conspersa,125,29.22441251
237,Arphia conspersa,0,0,0,0,5,3,8,2009,A1,1.625,2195,A12009Arphia conspersa,125,29.22441251
127,Arphia conspersa,1,8,3,1,0,0,13,2010,A1,4.692307692,2195,A12010Arphia conspersa,137,29.33191424
136,Arphia conspersa,11,4,0,0,0,0,15,2010,A1,5.733333333,2195,A12010Arphia conspersa,137,29.33191424
142,Arphia conspersa,10,0,0,0,0,0,10,2010,A1,6,2195,A12010Arphia conspersa,137,29.33191424
149,Arphia conspersa,11,0,0,0,0,0,11,2010,A1,6,2195,A12010Arphia conspersa,137,29.33191424
154,Arphia conspersa,11,0,0,0,0,0,11,2010,A1,6,2195,A12010Arphia conspersa,137,29.33191424
160,Arphia conspersa,9,0,0,0,0,0,9,2010,A1,6,2195,A12010Arphia conspersa,137,29.33191424
168,Arphia conspersa,7,0,0,0,0,0,7,2010,A1,6,2195,A12010Arphia conspersa,137,29.33191424
176,Arphia conspersa,4,0,0,0,0,0,4,2010,A1,6,2195,A12010Arphia conspersa,137,29.33191424
183,Arphia conspersa,8,0,0,0,0,0,8,2010,A1,6,2195,A12010Arphia conspersa,137,29.33191424
209,Arphia conspersa,1,0,0,0,2,3,6,2010,A1,2.166666667,2195,A12010Arphia conspersa,137,29.33191424
226,Arphia conspersa,0,0,0,0,2,2,4,2010,A1,1.5,2195,A12010Arphia conspersa,137,29.33191424
231,Arphia conspersa,0,0,0,0,3,5,8,2010,A1,1.375,2195,A12010Arphia conspersa,137,29.33191424
239,Arphia conspersa,0,0,0,0,1,6,7,2010,A1,1.142857143,2195,A12010Arphia conspersa,137,29.33191424
125,Arphia conspersa,22,3,0,0,0,0,25,2011,A1,5.88,2195,A12011Arphia conspersa,125,15.03419557
131,Arphia conspersa,42,0,0,0,0,0,42,2011,A1,6,2195,A12011Arphia conspersa,125,15.03419557
140,Arphia conspersa,30,0,0,0,0,0,30,2011,A1,6,2195,A12011Arphia conspersa,125,15.03419557
146,Arphia conspersa,26,0,0,0,0,0,26,2011,A1,6,2195,A12011Arphia conspersa,125,15.03419557
154,Arphia conspersa,23,0,0,0,0,0,23,2011,A1,6,2195,A12011Arphia conspersa,125,15.03419557
160,Arphia conspersa,34,0,0,0,0,0,34,2011,A1,6,2195,A12011Arphia conspersa,125,15.03419557
167,Arphia conspersa,27,0,0,0,0,0,27,2011,A1,6,2195,A12011Arphia conspersa,125,15.03419557
174,Arphia conspersa,20,0,0,0,0,0,20,2011,A1,6,2195,A12011Arphia conspersa,125,15.03419557
181,Arphia conspersa,11,0,0,0,0,0,11,2011,A1,6,2195,A12011Arphia conspersa,125,15.03419557
189,Arphia conspersa,13,0,0,0,0,0,13,2011,A1,6,2195,A12011Arphia conspersa,125,15.03419557
195,Arphia conspersa,6,0,0,0,0,0,6,2011,A1,6,2195,A12011Arphia conspersa,125,15.03419557
203,Arphia conspersa,5,0,0,0,2,0,7,2011,A1,4.857142857,2195,A12011Arphia conspersa,125,15.03419557
215,Arphia conspersa,0,0,0,0,3,3,6,2011,A1,1.5,2195,A12011Arphia conspersa,125,15.03419557
245,Arphia conspersa,0,0,0,0,0,8,8,2011,A1,1,2195,A12011Arphia conspersa,125,15.03419557
239,Arphia pseudonietana,5,0,0,0,0,0,5,2010,A1,6,2195,A12010Arphia pseudonietana,NA,NA
207,Arphia pseudonietana,0,1,0,1,0,4,6,2011,A1,2,2195,A12011Arphia pseudonietana,NA,NA
215,Arphia pseudonietana,0,1,2,0,0,0,3,2011,A1,4.333333333,2195,A12011Arphia pseudonietana,NA,NA
210,Camnula pellucida,9,1,0,0,0,0,10,1958,A1,5.9,2195,A11958Camnula pellucida,NA,NA
241,Camnula pellucida,9,0,0,0,0,0,9,1958,A1,6,2195,A11958Camnula pellucida,NA,NA
160,Camnula pellucida,0,0,0,0,0,11,11,1959,A1,1,2195,A11959Camnula pellucida,215,486.9883406
167,Camnula pellucida,0,0,0,0,8,3,11,1959,A1,1.727272727,2195,A11959Camnula pellucida,215,486.9883406
174,Camnula pellucida,0,0,0,3,5,1,9,1959,A1,2.222222222,2195,A11959Camnula pellucida,215,486.9883406
183,Camnula pellucida,0,0,7,10,2,1,20,1959,A1,3.15,2195,A11959Camnula pellucida,215,486.9883406
195,Camnula pellucida,1,8,1,0,0,0,10,1959,A1,5,2195,A11959Camnula pellucida,215,486.9883406
202,Camnula pellucida,1,4,3,0,0,0,8,1959,A1,4.75,2195,A11959Camnula pellucida,215,486.9883406
209,Camnula pellucida,2,2,0,0,0,0,4,1959,A1,5.5,2195,A11959Camnula pellucida,215,486.9883406
216,Camnula pellucida,14,2,0,0,0,0,16,1959,A1,5.875,2195,A11959Camnula pellucida,215,486.9883406
223,Camnula pellucida,9,0,0,0,0,0,9,1959,A1,6,2195,A11959Camnula pellucida,215,486.9883406
230,Camnula pellucida,5,0,0,0,0,0,5,1959,A1,6,2195,A11959Camnula pellucida,215,486.9883406
237,Camnula pellucida,19,0,0,0,0,0,19,1959,A1,6,2195,A11959Camnula pellucida,215,486.9883406
243,Camnula pellucida,7,0,0,0,0,0,7,1959,A1,6,2195,A11959Camnula pellucida,215,486.9883406
250,Camnula pellucida,4,0,0,0,0,0,4,1959,A1,6,2195,A11959Camnula pellucida,215,486.9883406
159,Camnula pellucida,0,0,0,0,1,10,11,1960,A1,1.090909091,2195,A11960Camnula pellucida,NA,NA
168,Camnula pellucida,0,0,0,0,2,1,3,2007,A1,1.666666667,2195,A12007Camnula pellucida,NA,NA
211,Camnula pellucida,3,0,0,0,0,0,3,2007,A1,6,2195,A12007Camnula pellucida,NA,NA
218,Camnula pellucida,7,0,0,0,0,0,7,2007,A1,6,2195,A12007Camnula pellucida,NA,NA
229,Camnula pellucida,5,0,0,0,0,0,5,2007,A1,6,2195,A12007Camnula pellucida,NA,NA
175,Camnula pellucida,0,0,0,0,2,1,3,2008,A1,1.666666667,2195,A12008Camnula pellucida,210,434.554709
197,Camnula pellucida,1,1,2,1,0,0,5,2008,A1,4.4,2195,A12008Camnula pellucida,210,434.554709
212,Camnula pellucida,2,1,0,0,0,0,3,2008,A1,5.666666667,2195,A12008Camnula pellucida,210,434.554709
224,Camnula pellucida,5,0,0,0,0,0,5,2008,A1,6,2195,A12008Camnula pellucida,210,434.554709
232,Camnula pellucida,7,0,0,0,0,0,7,2008,A1,6,2195,A12008Camnula pellucida,210,434.554709
241,Camnula pellucida,3,0,0,0,0,0,3,2008,A1,6,2195,A12008Camnula pellucida,210,434.554709
174,Camnula pellucida,0,0,1,1,2,3,7,2009,A1,2,2195,A12009Camnula pellucida,204,303.5661135
189,Camnula pellucida,0,0,3,0,0,0,3,2009,A1,4,2195,A12009Camnula pellucida,204,303.5661135
195,Camnula pellucida,3,1,0,0,0,0,4,2009,A1,5.75,2195,A12009Camnula pellucida,204,303.5661135
219,Camnula pellucida,3,0,0,0,0,0,3,2009,A1,6,2195,A12009Camnula pellucida,204,303.5661135
227,Camnula pellucida,3,0,0,0,0,0,3,2009,A1,6,2195,A12009Camnula pellucida,204,303.5661135
237,Camnula pellucida,5,0,0,0,0,0,5,2009,A1,6,2195,A12009Camnula pellucida,204,303.5661135
160,Camnula pellucida,0,0,0,0,0,4,4,2010,A1,1,2195,A12010Camnula pellucida,210,369.0567016
168,Camnula pellucida,0,0,0,0,4,7,11,2010,A1,1.363636364,2195,A12010Camnula pellucida,210,369.0567016
176,Camnula pellucida,0,0,1,9,5,1,16,2010,A1,2.625,2195,A12010Camnula pellucida,210,369.0567016
183,Camnula pellucida,0,0,3,8,6,0,17,2010,A1,2.823529412,2195,A12010Camnula pellucida,210,369.0567016
190,Camnula pellucida,0,4,1,3,0,0,8,2010,A1,4.125,2195,A12010Camnula pellucida,210,369.0567016
201,Camnula pellucida,1,3,0,0,0,0,4,2010,A1,5.25,2195,A12010Camnula pellucida,210,369.0567016
217,Camnula pellucida,3,0,0,0,0,0,3,2010,A1,6,2195,A12010Camnula pellucida,210,369.0567016
226,Camnula pellucida,6,0,0,0,0,0,6,2010,A1,6,2195,A12010Camnula pellucida,210,369.0567016
231,Camnula pellucida,6,0,0,0,0,0,6,2010,A1,6,2195,A12010Camnula pellucida,210,369.0567016
239,Camnula pellucida,4,0,0,0,0,0,4,2010,A1,6,2195,A12010Camnula pellucida,210,369.0567016
160,Camnula pellucida,0,0,0,0,3,6,9,2011,A1,1.333333333,2195,A12011Camnula pellucida,210,398.1418342
167,Camnula pellucida,0,0,0,0,3,1,4,2011,A1,1.75,2195,A12011Camnula pellucida,210,398.1418342
174,Camnula pellucida,0,0,0,4,2,0,6,2011,A1,2.666666667,2195,A12011Camnula pellucida,210,398.1418342
207,Camnula pellucida,6,5,1,0,0,0,12,2011,A1,5.416666667,2195,A12011Camnula pellucida,210,398.1418342
215,Camnula pellucida,19,5,0,0,0,0,24,2011,A1,5.791666667,2195,A12011Camnula pellucida,210,398.1418342
225,Camnula pellucida,16,0,0,0,0,0,16,2011,A1,6,2195,A12011Camnula pellucida,210,398.1418342
245,Camnula pellucida,14,0,0,0,0,0,14,2011,A1,6,2195,A12011Camnula pellucida,210,398.1418342
168,Chloealtis abdominalis,0,0,1,4,1,0,6,2007,A1,3,2195,A12007Chloealtis abdominalis,203,522.8606421
182,Chloealtis abdominalis,0,3,2,0,0,0,5,2007,A1,4.6,2195,A12007Chloealtis abdominalis,203,522.8606421
196,Chloealtis abdominalis,1,1,0,1,0,0,3,2007,A1,4.666666667,2195,A12007Chloealtis abdominalis,203,522.8606421
204,Chloealtis abdominalis,2,1,0,0,0,0,3,2007,A1,5.666666667,2195,A12007Chloealtis abdominalis,203,522.8606421
211,Chloealtis abdominalis,4,0,0,0,0,0,4,2007,A1,6,2195,A12007Chloealtis abdominalis,203,522.8606421
218,Chloealtis abdominalis,3,0,0,0,0,0,3,2007,A1,6,2195,A12007Chloealtis abdominalis,203,522.8606421
229,Chloealtis abdominalis,8,0,0,0,0,0,8,2007,A1,6,2195,A12007Chloealtis abdominalis,203,522.8606421
224,Chloealtis abdominalis,1,1,0,0,0,3,5,2008,A1,2.8,2195,A12008Chloealtis abdominalis,NA,NA
163,Chloealtis abdominalis,0,0,0,2,2,0,4,2009,A1,2.5,2195,A12009Chloealtis abdominalis,NA,NA
174,Chloealtis abdominalis,0,0,1,0,2,0,3,2009,A1,2.666666667,2195,A12009Chloealtis abdominalis,NA,NA
195,Chloealtis abdominalis,0,5,0,3,0,0,8,2009,A1,4.25,2195,A12009Chloealtis abdominalis,NA,NA
227,Chloealtis abdominalis,3,1,0,0,0,0,4,2009,A1,5.75,2195,A12009Chloealtis abdominalis,NA,NA
168,Chloealtis abdominalis,0,0,0,2,5,0,7,2010,A1,2.285714286,2195,A12010Chloealtis abdominalis,223,454.9532081
176,Chloealtis abdominalis,0,1,1,1,0,0,3,2010,A1,4,2195,A12010Chloealtis abdominalis,223,454.9532081
183,Chloealtis abdominalis,0,0,1,5,2,0,8,2010,A1,2.875,2195,A12010Chloealtis abdominalis,223,454.9532081
190,Chloealtis abdominalis,2,0,0,3,0,0,5,2010,A1,4.2,2195,A12010Chloealtis abdominalis,223,454.9532081
209,Chloealtis abdominalis,2,5,1,0,0,0,8,2010,A1,5.125,2195,A12010Chloealtis abdominalis,223,454.9532081
226,Chloealtis abdominalis,4,0,0,0,0,0,4,2010,A1,6,2195,A12010Chloealtis abdominalis,223,454.9532081
231,Chloealtis abdominalis,4,0,0,0,0,0,4,2010,A1,6,2195,A12010Chloealtis abdominalis,223,454.9532081
174,Chloealtis abdominalis,0,0,3,2,0,0,5,2011,A1,3.6,2195,A12011Chloealtis abdominalis,219,444.3840016
181,Chloealtis abdominalis,0,5,2,1,0,0,8,2011,A1,4.5,2195,A12011Chloealtis abdominalis,219,444.3840016
189,Chloealtis abdominalis,0,7,3,0,0,0,10,2011,A1,4.7,2195,A12011Chloealtis abdominalis,219,444.3840016
195,Chloealtis abdominalis,0,6,3,0,0,0,9,2011,A1,4.666666667,2195,A12011Chloealtis abdominalis,219,444.3840016
203,Chloealtis abdominalis,0,1,3,2,0,0,6,2011,A1,3.833333333,2195,A12011Chloealtis abdominalis,219,444.3840016
207,Chloealtis abdominalis,1,2,0,0,0,0,3,2011,A1,5.333333333,2195,A12011Chloealtis abdominalis,219,444.3840016
215,Chloealtis abdominalis,3,0,0,0,0,0,3,2011,A1,6,2195,A12011Chloealtis abdominalis,219,444.3840016
197,Chloealtis conspersa,4,0,0,0,0,0,4,2008,A1,6,2195,A12008Chloealtis conspersa,NA,NA
237,Chloealtis conspersa,3,0,0,0,0,0,3,2009,A1,6,2195,A12009Chloealtis conspersa,NA,NA
226,Chloealtis conspersa,3,0,0,0,0,0,3,2010,A1,6,2195,A12010Chloealtis conspersa,NA,NA
210,Circotettix rabula,3,1,0,0,0,0,4,1958,A1,5.75,2195,A11958Circotettix rabula,NA,NA
174,Circotettix rabula,0,1,8,2,0,0,11,1959,A1,3.909090909,2195,A11959Circotettix rabula,NA,NA
159,Circotettix rabula,0,0,0,3,0,1,4,1960,A1,2.5,2195,A11960Circotettix rabula,NA,NA
225,Circotettix rabula,3,0,0,0,0,0,3,2011,A1,6,2195,A12011Circotettix rabula,NA,NA
245,Circotettix rabula,5,0,0,0,0,0,5,2011,A1,6,2195,A12011Circotettix rabula,NA,NA
210,Cratypledes neglectus,16,0,0,0,0,0,16,1958,A1,6,2195,A11958Cratypledes neglectus,NA,NA
241,Cratypledes neglectus,10,0,0,0,0,0,10,1958,A1,6,2195,A11958Cratypledes neglectus,NA,NA
183,Cratypledes neglectus,0,14,18,0,0,0,32,1959,A1,4.4375,2195,A11959Cratypledes neglectus,193,350.9255082
195,Cratypledes neglectus,23,7,0,0,0,0,30,1959,A1,5.766666667,2195,A11959Cratypledes neglectus,193,350.9255082
202,Cratypledes neglectus,30,1,0,0,0,0,31,1959,A1,5.967741935,2195,A11959Cratypledes neglectus,193,350.9255082
209,Cratypledes neglectus,30,1,0,0,0,0,31,1959,A1,5.967741935,2195,A11959Cratypledes neglectus,193,350.9255082
216,Cratypledes neglectus,23,0,0,0,0,0,23,1959,A1,6,2195,A11959Cratypledes neglectus,193,350.9255082
223,Cratypledes neglectus,15,0,0,0,0,0,15,1959,A1,6,2195,A11959Cratypledes neglectus,193,350.9255082
230,Cratypledes neglectus,11,0,0,0,0,0,11,1959,A1,6,2195,A11959Cratypledes neglectus,193,350.9255082
237,Cratypledes neglectus,23,0,0,0,0,0,23,1959,A1,6,2195,A11959Cratypledes neglectus,193,350.9255082
243,Cratypledes neglectus,4,0,0,0,0,0,4,1959,A1,6,2195,A11959Cratypledes neglectus,193,350.9255082
250,Cratypledes neglectus,5,0,0,0,0,0,5,1959,A1,6,2195,A11959Cratypledes neglectus,193,350.9255082
161,Cratypledes neglectus,0,0,1,2,2,0,5,2007,A1,2.8,2195,A12007Cratypledes neglectus,181,278.5270736
168,Cratypledes neglectus,1,1,0,2,0,0,4,2007,A1,4.25,2195,A12007Cratypledes neglectus,181,278.5270736
175,Cratypledes neglectus,1,2,0,0,0,0,3,2007,A1,5.333333333,2195,A12007Cratypledes neglectus,181,278.5270736
182,Cratypledes neglectus,3,0,0,0,0,0,3,2007,A1,6,2195,A12007Cratypledes neglectus,181,278.5270736
189,Cratypledes neglectus,4,0,0,0,0,0,4,2007,A1,6,2195,A12007Cratypledes neglectus,181,278.5270736
196,Cratypledes neglectus,14,1,0,0,0,0,15,2007,A1,5.933333333,2195,A12007Cratypledes neglectus,181,278.5270736
204,Cratypledes neglectus,4,0,0,0,0,0,4,2007,A1,6,2195,A12007Cratypledes neglectus,181,278.5270736
229,Cratypledes neglectus,11,0,0,0,0,0,11,2007,A1,6,2195,A12007Cratypledes neglectus,181,278.5270736
249,Cratypledes neglectus,3,0,0,0,0,0,3,2007,A1,6,2195,A12007Cratypledes neglectus,181,278.5270736
168,Cratypledes neglectus,0,2,1,2,0,0,5,2008,A1,4,2195,A12008Cratypledes neglectus,173,154.6740922
175,Cratypledes neglectus,3,0,0,0,0,0,3,2008,A1,6,2195,A12008Cratypledes neglectus,173,154.6740922
183,Cratypledes neglectus,7,1,1,0,0,0,9,2008,A1,5.666666667,2195,A12008Cratypledes neglectus,173,154.6740922
190,Cratypledes neglectus,5,1,0,0,0,0,6,2008,A1,5.833333333,2195,A12008Cratypledes neglectus,173,154.6740922
197,Cratypledes neglectus,9,0,0,0,0,0,9,2008,A1,6,2195,A12008Cratypledes neglectus,173,154.6740922
206,Cratypledes neglectus,19,0,0,0,0,0,19,2008,A1,6,2195,A12008Cratypledes neglectus,173,154.6740922
212,Cratypledes neglectus,5,0,0,0,0,0,5,2008,A1,6,2195,A12008Cratypledes neglectus,173,154.6740922
218,Cratypledes neglectus,6,0,0,0,0,0,6,2008,A1,6,2195,A12008Cratypledes neglectus,173,154.6740922
224,Cratypledes neglectus,7,0,0,0,0,0,7,2008,A1,6,2195,A12008Cratypledes neglectus,173,154.6740922
232,Cratypledes neglectus,20,0,0,0,0,0,20,2008,A1,6,2195,A12008Cratypledes neglectus,173,154.6740922
241,Cratypledes neglectus,12,0,0,0,0,0,12,2008,A1,6,2195,A12008Cratypledes neglectus,173,154.6740922
